cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris
02098,Bonneil,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bonneil,1
02099,Bonnesvalyn,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bonnesvalyn,1
02100,Bony,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bony,1
02101,Bosmont-sur-Serre,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bosmont-sur-Serre,1
02102,Bouconville-Vauclair,60.0,Mouvement de Terrain,2001-03-15 00:00:00,2001-05-04 00:00:00,2,,2
02102,Bouconville-Vauclair,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,2,,2
02103,Boué,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,2,Boué,2
02103,Boué,60.0,Mouvement de Terrain,1984-11-22 00:00:00,1984-11-24 00:00:00,2,Boué,2
02104,Bouffignereux,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02105,Bouresches,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02106,Bourg-et-Comin,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bourg-et-Comin,1
02107,Bourguignon-sous-Coucy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02108,Bourguignon-sous-Montbavin,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02109,La Bouteille,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,2,La Bouteille,2
02109,La Bouteille,60.0,Mouvement de Terrain,1984-11-22 00:00:00,1984-11-24 00:00:00,2,La Bouteille,2
02110,Braine,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Braine,1
02111,Brancourt-en-Laonnois,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Brancourt-en-Laonnois,1
02112,Brancourt-le-Grand,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Brancourt-le-Grand,1
